Wees, 2 378
Westerholz,  759
Sieverstedt, 1 658
Tarp, 5 901
Oeversee, 3 465
Schnarup-Thumby,  544
Sörup, 4 306
Mittelangeln, 5 277
Böxlund,  108
Großenwiehe, 3 164
Hörup,  627
Holt,  162
Jardelund,  319
Medelby,  975
Meyn,  741
Nordhackstedt,  499
Osterby,  315
Schafflund, 2 826
Wallsbüll,  927
Weesby,  426
Lindewitt, 1 952
Böel,  720
Loit,  261
Mohrkirch,  970
Norderbrarup,  655
Nottfeld,  118
Rügge,  241
Saustrup,  204
Scheggerott,  363
Steinfeld,  807
Süderbrarup, 5 176
Ulsnis,  664
Wagersrott,  214
Boren, 1 139
Böklund, 1 667
Havetoft,  914
Idstedt,  905
Klappholz,  451
Neuberend, 1 174
Schaalby, 1 573
Stolk,  797
Struxdorf,  643
Süderfahrenstedt,  478
Taarstedt,  936
Tolk, 1 040
Uelsby,  431
Twedt,  516
Nübel, 1 307
Brodersby-Goltoft,  696
Ahneby,  199
Esgrus,  780
Gelting, 2 120
Hasselberg,  833
Kronsgaard,  233
Maasholm,  601
Nieby,  127
Niesgrau,  530
Pommerby,  159
Rabel,  620
Rabenholz,  279
Stangheck,  220
Steinberg,  807
Sterup, 1 332
Stoltebüll,  690
Steinbergkirche, 2 712
Bollingstedt, 1 410
Ellingstedt,  736
Hollingstedt,  988
Hüsby,  795
Jübek, 2 739
Lürschau, 1 095
Schuby, 2 679
Silberstedt, 2 357
Treia, 1 562
Alt Bennebek,  321
Bergenhusen,  715
Börm,  786
Dörpstedt,  550
Erfde, 1 984
Groß Rheide,  904
Klein Bennebek,  546
Klein Rheide,  333
Kropp, 6 664
Meggerdorf,  684
Tetenhusen,  942
Tielen,  297
Wohlde,  512
Stapel, 1 833
"Bad Bramstedt, Stadt", 15 128
"Bad Segeberg, Stadt", 17 641
Ellerau, 6 299
Henstedt-Ulzburg, 28 001
"Kaltenkirchen, Stadt", 22 877
"Norderstedt, Stadt", 79 155
"Wahlstedt, Stadt", 9 839
Armstedt,  381
Bimöhlen, 1 008
Borstel,  123
Föhrden-Barl,  302
Fuhlendorf,  411
Großenaspe, 2 989
Hagen,  490
Hardebek,  474
Hasenkrug,  347
Heidmoor,  302
Hitzhusen, 1 240
Mönkloh,  233
Weddelbrook, 1 031
Wiemersdorf, 1 703
Bornhöved, 3 342
Damsdorf,  224
Gönnebek,  494
Schmalensee,  500
Stocksee,  400
Tarbek,  164
Tensfeld,  685
Trappenkamp, 5 218
Itzstedt, 2 258
Kayhude, 1 233
Nahe, 2 502
Oering, 1 423
Seth, 1 914
Sülfeld, 3 259
Alveslohe, 2 769
Hartenholm, 1 911
Hasenmoor,  769
Lentföhrden, 2 669
Nützen, 1 210
Schmalfeld, 1 945
Hüttblek,  370
Kattendorf,  860
Kisdorf, 3 995
Oersdorf,  889
Sievershütten, 1 120
Struvenhütten,  966
Stuvenborn,  866
Wakendorf II, 1 326
Winsen,  374
Bark,  952
Bebensee,  655
Fredesdorf,  402
Groß Niendorf,  666
Högersdorf,  400
Kükels,  450
Leezen, 1 764
Mözen,  451
Neversdorf,  711
Schwissel,  258
Todesfelde, 1 068
Wittenborn,  974
Boostedt, 6 568
Daldorf,  639
Groß Kummerfeld, 1 914
Heidmühlen,  665
Latendorf,  621
Rickling, 3 132
Bahrenhof,  213
Blunk,  570
Bühnsdorf,  360
Fahrenkrug, 1 608
Geschendorf,  569
Glasau,  889
Groß Rönnau,  557
Klein Gladebrügge,  574
Klein Rönnau, 1 762
Krems II,  389
Negernbötel,  966
Nehms,  553
Neuengörs,  817
Pronstorf, 1 620
Rohlstorf, 1 237
Schackendorf,  906
Schieren,  271
Seedorf, 2 158
Stipsdorf,  240
Strukdorf,  264
Travenhorst,  202
Traventhal,  520
Wakendorf I,  494
Weede, 1 022
Wensin,  840
Westerrade,  438
"Glückstadt, Stadt", 10 779
"Itzehoe, Stadt", 31 796
"Wilster, Stadt", 4 301
Auufer,  136
Breitenberg,  343
Breitenburg, 1 219
Kronsmoor,  177
Lägerdorf, 2 660
Moordiek,  112
Münsterdorf, 1 869
Oelixdorf, 1 533
Westermoor,  404
Wittenbergen,  161
Altenmoor,  213
Blomesche Wildnis,  639
Borsfleth,  718
Engelbrechtsche Wildnis,  862
Herzhorn, 1 139
Hohenfelde,  890
Horst (Holstein), 5 726
Kiebitzreihe, 2 202
Krempdorf,  230
Neuendorf b. Elmshorn,  844
Sommerland,  742
Kollmar, 1 687
Bekdorf,  102
Bekmünde,  147
Drage,  233
Heiligenstedten, 1 501
Heiligenstedtenerkamp,  729
Hodorf,  199
Hohenaspe, 1 952
Huje,  274
Kaaks,  432
Kleve,  548
Lohbarbek,  747
Mehlbek,  422
Oldendorf, 1 082
Ottenbüttel,  727
Peissen,  273
Schlotfeld,  236
Silzen,  156
Winseldorf,  323
Bahrenfleth,  576
Dägeling, 1 012
Elskop,  154
Grevenkop,  320
"Krempe, Stadt", 2 346
Kremperheide, 2 339
Krempermoor,  548
Neuenbrook,  692
Rethwisch,  581
Süderau,  726
Aasbüttel,  140
Agethorst,  195
Besdorf,  241
Bokelrehm,  147
Bokhorst,  140
Gribbohm,  428
Hadenfeld,  152
Holstenniendorf,  393
Looft,  409
Nienbüttel,  123
Nutteln,  252
Oldenborstel,  117
Pöschendorf,  265
Puls,  563
Reher,  727
Schenefeld, 2 601
Vaale, 1 238
Vaalermoor,  118
Wacken, 1 981
Warringholz,  303
Beidenfleth,  846
Brokdorf,  981
Dammfleth,  269
Ecklak,  293
Kudensee,  116
Landrecht,  113
Landscheide,  266
Nortorf,  838
Sankt Margarethen,  790
Stördorf,  124
Wewelsfleth, 1 256
Neuendorf-Sachsenbande,  436
Brokstedt, 2 069
Fitzbek,  399
Hennstedt,  591
Hohenlockstedt, 6 067
"Kellinghusen, Stadt", 8 144
Lockstedt,  137
Mühlenbarbek,  264
Oeschebüttel,  180
Poyenberg,  388
Quarnstedt,  439
Rade,  105
Rosdorf,  354
Sarlhusen,  470
Willenscharen,  176
Wrist, 2 319
Wulfsmoor,  391
"Ahrensburg, Stadt", 34 052
"Bad Oldesloe, Stadt", 24 784
"Bargteheide, Stadt", 15 984
Barsbüttel, 12 873
"Glinde, Stadt", 18 380
Großhansdorf, 9 349
Oststeinbek, 8 843
"Reinbek, Stadt", 28 250
"Reinfeld (Holstein), Stadt", 9 042
Tangstedt, 6 456
Ammersbek, 9 870
Grabau,  811
Meddewade,  909
Neritz,  328
Pölitz, 1 235
Rethwisch, 1 218
Rümpel, 1 301
Lasbek, 1 285
Steinburg, 2 806
Travenbrück, 1 725
Bargfeld-Stegen, 3 056
Delingsdorf, 2 262
Elmenhorst, 2 758
Hammoor, 1 292
Jersbek, 1 798
Nienwohld,  493
Todendorf, 1 241
Tremsbüttel, 1 934
Badendorf,  885
Barnitz,  858
Hamberge, 1 785
Heidekamp,  453
Heilshoop,  550
Klein Wesenberg,  768
Mönkhagen,  662
Rehhorst,  721
Westerau,  744
Zarpen, 1 444
Feldhorst,  562
Wesenberg, 1 679
Braak,  974
Hoisdorf, 3 572
Siek, 2 438
Stapelfeld, 1 878
Brunsbek, 1 632
Grande,  695
Grönwohld, 1 511
Großensee, 1 786
Hamfelde,  530
Köthel,  329
Lütjensee, 3 382
Rausdorf,  229
Trittau, 8 983
Witzhave, 1 552
"Hamburg, Freie und Hansestadt",1 852 478
"Braunschweig, Stadt", 248 561
"Salzgitter, Stadt", 103 866
"Wolfsburg, Stadt", 123 840
"Gifhorn, Stadt", 42 939
Sassenburg, 11 929
"Wittingen, Stadt", 11 357
Barwedel, 1 038
Bokensdorf, 1 278
Jembke, 2 012
Osloß, 1 885
Tappenbeck, 1 466
Weyhausen, 2 548
Bergfeld,  908
"Brome, Flecken", 3 258
Ehra-Lessien, 1 951
Parsau, 1 919
Rühen, 5 916
Tiddische, 1 287
Tülau, 1 421
Dedelstorf, 1 203
Hankensbüttel, 4 538
Obernholz,  830
Sprakensehl, 1 195
Steinhorst, 1 242
Calberlah, 5 234
Isenbüttel, 6 403
Ribbesbüttel, 2 070
Wasbüttel, 1 774
Hillerse, 2 472
Leiferde, 4 425
Meinersen, 8 080
Müden (Aller), 5 334
Adenbüttel, 1 788
Meine, 8 613
Rötgesbüttel, 2 419
Schwülper, 7 280
Vordorf, 3 123
Didderse, 1 335
Groß Oesingen, 1 988
Schönewörde,  923
Ummern, 1 539
Wagenhoff, 1 170
Wahrenholz, 3 673
Wesendorf, 5 464
"Bad Harzburg, Stadt", 21 820
Liebenburg, 7 793
"Seesen, Stadt", 19 111
"Braunlage, Stadt", 5 763
"Goslar, Stadt", 50 184
"Clausthal-Zellerfeld, Berg- und Universitätsstadt", 14 844
"Langelsheim, Stadt", 15 173
"Königslutter am Elm, Stadt", 15 790
Lehre, 12 078
"Schöningen, Stadt", 11 214
"Helmstedt, Stadt", 25 544
Grasleben, 2 435
Mariental,  905
Querenhorst,  483
Rennau,  694
Beierstedt,  348
Gevensleben,  623
Jerxheim, 1 119
Söllingen, 1 615
Frellstedt,  793
Räbke,  724
Süpplingen, 1 790
Süpplingenburg,  644
Warberg,  828
Wolsdorf,  916
Bahrdorf, 1 823
Danndorf, 2 469
Grafhorst, 1 134
Groß Twülpstedt, 2 670
Velpke, 4 879
"Bad Gandersheim, Stadt", 9 492
"Bodenfelde, Flecken", 3 046
"Dassel, Stadt", 9 510
"Hardegsen, Stadt", 7 584
Kalefeld, 6 150
Katlenburg-Lindau, 7 005
"Moringen, Stadt", 6 941
"Nörten-Hardenberg, Flecken", 8 435
"Northeim, Stadt", 29 092
"Uslar, Stadt", 14 068
"Einbeck, Stadt", 30 449
Edemissen, 12 533
Hohenhameln, 9 273
Lengede, 13 559
"Peine, Stadt", 50 249
Vechelde, 17 938
Wendeburg, 10 426
Ilsede, 21 866
Cremlingen, 12 996
"Wolfenbüttel, Stadt", 52 121
Schladen-Werla, 8 693
Baddeckenstedt, 3 077
Burgdorf, 2 208
Elbe, 1 502
Haverlah, 1 588
Heere, 1 075
Sehlde,  894
Cramme,  847
Dorstadt,  703
Flöthe, 1 092
Heiningen,  640
Ohrum,  622
Börßum, 2 784
Dettum, 1 174
Erkerode,  903
Evessen, 1 253
Sickte, 6 084
Veltheim (Ohe),  982
Dahlum,  628
Denkte, 2 772
Hedeper,  496
Kissenbrück, 1 710
Kneitlingen,  787
Roklum,  437
"Schöppenstedt, Stadt", 5 484
Uehrde,  892
Vahlberg,  722
Winnigstedt,  696
Wittmar, 1 105
Remlingen-Semmenstedt, 2 394
"Adelebsen, Flecken", 6 201
Bad Grund (Harz), 8 184
"Bad Lauterberg im Harz, Stadt", 10 294
"Bad Sachsa, Stadt", 7 373
"Bovenden, Flecken", 13 891
"Duderstadt, Stadt", 20 281
Friedland, 13 343
Gleichen, 8 789
"Göttingen, Stadt", 116 845
"Hann. Münden, Stadt", 23 504
"Herzberg am Harz, Stadt", 12 799
"Osterode am Harz, Stadt", 21 392
Rosdorf, 11 867
Staufenberg, 7 724
Walkenried, 4 321
Bühren,  529
"Dransfeld, Stadt", 4 424
Jühnde,  973
Niemetal, 1 488
Scheden, 1 871
Bilshausen, 2 206
Bodensee,  791
"Gieboldehausen, Flecken", 3 943
Krebeck, 1 044
Obernfeld,  916
Rhumspringe, 1 795
Rollshausen,  850
Rüdershausen,  813
Wollbrandshausen,  641
Wollershausen,  481
Elbingerode,  432
Hattorf am Harz, 3 969
Hörden am Harz,  942
Wulften am Harz, 1 810
Ebergötzen, 1 927
Landolfshausen, 1 043
Seeburg, 1 581
Seulingen, 1 354
Waake, 1 269
